text,label
"This TV show made my day, pure joy using it every time.",positive
"Received the hotel stay yesterday, still testing it out.",neutral
"The TV show was wonderful, exactly what I was hoping for.",positive
"This phone case is horrible, save your money and avoid it.",negative
"Really happy with this camera, five stars all the way.",positive
"I hated this coffee maker, complete waste of money.",negative
"Really bad experience with this backpack, would not recommend.",negative
"Such a disappointing app, regret buying it.",negative
"It's a standard restaurant, similar to others in this price range.",neutral
"Really happy with this shoes, five stars all the way.",positive
"The app is fine for basic use, nothing more to add.",neutral
"This app is okay, does what it says but nothing more.",neutral
"Superb service, worth every penny and more.",positive
"It's a standard blender, similar to others in this price range.",neutral
"This camera is fantastic, works perfectly and looks amazing.",positive
"Worst shoes I have ever purchased, very disappointed.",negative
"Just a regular laptop, I use it occasionally.",neutral
"The restaurant arrived on time, nothing special to report.",neutral
"The watch came in plain packaging, functions normally.",neutral
"This hotel stay made my day, pure joy using it every time.",positive
"This backpack is horrible, save your money and avoid it.",negative
"Terrible TV show, broke after just two days of use.",negative
"This book is awful, nothing like what was advertised.",negative
"Really bad experience with this headphones, would not recommend.",negative
"Received the shoes yesterday, still testing it out.",neutral
"This restaurant is okay, does what it says but nothing more.",neutral
"Really bad experience with this backpack, would not recommend.",negative
"This game is okay, does what it says but nothing more.",neutral
"Really bad experience with this blender, would not recommend.",negative
"This laptop is horrible, save your money and avoid it.",negative
"This camera made my day, pure joy using it every time.",positive
"Superb service, worth every penny and more.",positive
"I'm impressed by this book, the quality is outstanding.",positive
"The phone case came in plain packaging, functions normally.",neutral
"I'm impressed by this shoes, the quality is outstanding.",positive
"Really bad experience with this game, would not recommend.",negative
"Poor quality laptop, feels cheap and flimsy.",negative
"An average TV show, neither good nor bad in my experience.",neutral
"The TV show came in plain packaging, functions normally.",neutral
"The TV show came in plain packaging, functions normally.",neutral
"The camera arrived on time, nothing special to report.",neutral
"This blender is fantastic, works perfectly and looks amazing.",positive
"I absolutely loved this shoes, it exceeded every expectation!",positive
"This headphones matches the description, no complaints or praise.",neutral
"This TV show is fantastic, works perfectly and looks amazing.",positive
"I absolutely loved this phone case, it exceeded every expectation!",positive
"Really happy with this restaurant, five stars all the way.",positive
"I'm furious about this movie, customer service was no help either.",negative
"Terrible service, broke after just two days of use.",negative
"This watch is awful, nothing like what was advertised.",negative
"I'm impressed by this game, the quality is outstanding.",positive
"I'm impressed by this phone case, the quality is outstanding.",positive
"This product is okay, does what it says but nothing more.",neutral
"Really happy with this hotel stay, five stars all the way.",positive
"This movie matches the description, no complaints or praise.",neutral
"It's a standard TV show, similar to others in this price range.",neutral
"This hotel stay is fantastic, works perfectly and looks amazing.",positive
"Such a disappointing service, regret buying it.",negative
"Terrible camera, broke after just two days of use.",negative
"Just a regular headphones, I use it occasionally.",neutral
"Really happy with this hotel stay, five stars all the way.",positive
"The restaurant stopped working almost immediately, so frustrating.",negative
"Best backpack I've bought in years, highly recommend to everyone.",positive
"Really bad experience with this watch, would not recommend.",negative
"This shoes is awful, nothing like what was advertised.",negative
"This coffee maker made my day, pure joy using it every time.",positive
"The coffee maker stopped working almost immediately, so frustrating.",negative
"Poor quality TV show, feels cheap and flimsy.",negative
"This coffee maker is horrible, save your money and avoid it.",negative
"An average restaurant, neither good nor bad in my experience.",neutral
"The book is fine for basic use, nothing more to add.",neutral
"An average restaurant, neither good nor bad in my experience.",neutral
"I'm impressed by this hotel stay, the quality is outstanding.",positive
"The service works as expected, no strong feelings either way.",neutral
Great service! Fast delivery and excellent quality overall.,positive
"It's a standard watch, similar to others in this price range.",neutral
"This shoes is fantastic, works perfectly and looks amazing.",positive
"An average laptop, neither good nor bad in my experience.",neutral
"The game came in plain packaging, functions normally.",neutral
"This blender is fantastic, works perfectly and looks amazing.",positive
"Really bad experience with this TV show, would not recommend.",negative
"An average phone case, neither good nor bad in my experience.",neutral
"This app is awful, nothing like what was advertised.",negative
"Terrible hotel stay, broke after just two days of use.",negative
Great movie! Fast delivery and excellent quality overall.,positive
"This laptop is okay, does what it says but nothing more.",neutral
"Really bad experience with this laptop, would not recommend.",negative
"This shoes is awful, nothing like what was advertised.",negative
"The shoes stopped working almost immediately, so frustrating.",negative
"Really bad experience with this product, would not recommend.",negative
"I hated this movie, complete waste of money.",negative
Great movie! Fast delivery and excellent quality overall.,positive
"This movie is awful, nothing like what was advertised.",negative
"This restaurant is fantastic, works perfectly and looks amazing.",positive
"This restaurant is fantastic, works perfectly and looks amazing.",positive
Great game! Fast delivery and excellent quality overall.,positive
"Terrible camera, broke after just two days of use.",negative
"I hated this app, complete waste of money.",negative
"Superb blender, worth every penny and more.",positive
"Such an amazing product, I can't stop telling my friends about it.",positive
"The laptop was wonderful, exactly what I was hoping for.",positive
Great book! Fast delivery and excellent quality overall.,positive
"Such a disappointing movie, regret buying it.",negative
"This camera is okay, does what it says but nothing more.",neutral
"The service stopped working almost immediately, so frustrating.",negative
"Poor quality coffee maker, feels cheap and flimsy.",negative
"Such an amazing phone case, I can't stop telling my friends about it.",positive
"Best TV show I've bought in years, highly recommend to everyone.",positive
Great restaurant! Fast delivery and excellent quality overall.,positive
"This backpack is okay, does what it says but nothing more.",neutral
"I hated this game, complete waste of money.",negative
"It's a standard app, similar to others in this price range.",neutral
"I'm impressed by this shoes, the quality is outstanding.",positive
"The coffee maker was wonderful, exactly what I was hoping for.",positive
"Such a disappointing TV show, regret buying it.",negative
"I absolutely loved this service, it exceeded every expectation!",positive
"I'm impressed by this restaurant, the quality is outstanding.",positive
"Poor quality laptop, feels cheap and flimsy.",negative
"Best game I've bought in years, highly recommend to everyone.",positive
"The coffee maker came in plain packaging, functions normally.",neutral
"This product is fantastic, works perfectly and looks amazing.",positive
"I absolutely loved this app, it exceeded every expectation!",positive
"I'm furious about this book, customer service was no help either.",negative
"This restaurant is fantastic, works perfectly and looks amazing.",positive
"I'm furious about this headphones, customer service was no help either.",negative
"The backpack was wonderful, exactly what I was hoping for.",positive
"The book works as expected, no strong feelings either way.",neutral
"Really bad experience with this phone case, would not recommend.",negative
"An average restaurant, neither good nor bad in my experience.",neutral
"An average product, neither good nor bad in my experience.",neutral
"I'm furious about this product, customer service was no help either.",negative
"This restaurant is okay, does what it says but nothing more.",neutral
"Worst headphones I have ever purchased, very disappointed.",negative
"Worst game I have ever purchased, very disappointed.",negative
"I absolutely loved this book, it exceeded every expectation!",positive
"I'm impressed by this laptop, the quality is outstanding.",positive
"This service is fantastic, works perfectly and looks amazing.",positive
Great watch! Fast delivery and excellent quality overall.,positive
"This backpack is okay, does what it says but nothing more.",neutral
"The product was wonderful, exactly what I was hoping for.",positive
"Poor quality camera, feels cheap and flimsy.",negative
"Worst watch I have ever purchased, very disappointed.",negative
"This laptop is awful, nothing like what was advertised.",negative
"Just a regular game, I use it occasionally.",neutral
"This shoes matches the description, no complaints or praise.",neutral
"Terrible service, broke after just two days of use.",negative
"An average blender, neither good nor bad in my experience.",neutral
"Poor quality movie, feels cheap and flimsy.",negative
"Such an amazing app, I can't stop telling my friends about it.",positive
"Such an amazing camera, I can't stop telling my friends about it.",positive
"Best watch I've bought in years, highly recommend to everyone.",positive
